left,top,right,bottom,id
-49.2285226999999992,-26.0892823999999983,-49.0285226999999963,-26.2892823999999976,"1"
-49.2285226999999992,-26.2892823999999976,-49.0285226999999963,-26.4892823999999969,"2"
-49.0285226999999963,-26.0892823999999983,-48.8285226999999935,-26.2892823999999976,"3"
-49.0285226999999963,-26.2892823999999976,-48.8285226999999935,-26.4892823999999969,"4"
-48.8285227000000006,-26.0892823999999983,-48.6285226999999978,-26.2892823999999976,"5"
-48.8285227000000006,-26.2892823999999976,-48.6285226999999978,-26.4892823999999969,"6"
